,Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
1435,1435,Lund_00213,Tree,Architecture,Landmark,Urban area,Town,Building,Wall,City,Public space,Street,‘i’) [N,‘i’) [N, Aug 2018,"Tree,Architecture,Landmark,Urban area,Town,Building,Wall,City,Public space,Street"
1436,1436,Lund_01709,Sky,Mountain,Cloud,City,Recreation,Landscape,Tourist attraction,Winter,Roof,Park,Chadis Livs,Rohan Jn. Baptis, Jan 2017,"Sky,Mountain,Cloud,City,Recreation,Landscape,Tourist attraction,Winter,Roof,Park"
1437,1437,Lund_02156,Garden,Botanical garden,Park,Botany,Shrub,Tree,Plant,Landscaping,Spring,Yard,Stadsparken ¢,Stadsparken ¢, Jun 2018,"Garden,Botanical garden,Park,Botany,Shrub,Tree,Plant,Landscaping,Spring,Yard"
1438,1438,Lund_01034,Garden,Grass,Botanical garden,Botany,Park,Tree,Lawn,Spring,Shrub,Leaf,Stadsparken,6’:‘.‘ Casper Johansst, Apr 2018,"Garden,Grass,Botanical garden,Botany,Park,Tree,Lawn,Spring,Shrub,Leaf"
1439,1439,Lund_00318,Building,Landmark,Architecture,Town,City,Human settlement,Steeple,Sky,Medieval architecture,Facade,Lund Tourist Center,@ Lars Welin, Jul 2017,"Building,Landmark,Architecture,Town,City,Human settlement,Steeple,Sky,Medieval architecture,Facade"
1440,1440,Lund_02153,Body of water,Natural landscape,Reflection,Pond,Nature,Bank,Water,Natural environment,Tree,Fish pond,Botanical Garden,Q Stefanie Gao,,"Body of water,Natural landscape,Reflection,Pond,Nature,Bank,Water,Natural environment,Tree,Fish pond"
1441,1441,Lund_02811,Building,Town,Town square,Human settlement,Property,City,Plaza,Public space,Palace,Architecture,,, Jun 2018,"Building,Town,Town square,Human settlement,Property,City,Plaza,Public space,Palace,Architecture"
1442,1442,Lund_00776,Building,Landmark,Estate,Mansion,Palace,Property,Architecture,House,Official residence,Sky,,, Aug 2016,"Building,Landmark,Estate,Mansion,Palace,Property,Architecture,House,Official residence,Sky"
1443,1443,Lund_01231,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Gothic architecture,Cathedral,Place of worship,Facade,Steeple,[T T o1 T T T,Wal dek, May 2010,"Landmark,Medieval architecture,Architecture,Building,Classical architecture,Gothic architecture,Cathedral,Place of worship,Facade,Steeple"
1444,1444,Lund_00560,Building,Landmark,Architecture,Property,Palace,Stately home,Estate,Classical architecture,Château,Facade,Lundagérd,ESRVNTISVIN: Y, Aug 2017,"Building,Landmark,Architecture,Property,Palace,Stately home,Estate,Classical architecture,Château,Facade"
1445,1445,Lund_01367,Medieval architecture,Classical architecture,Architecture,Landmark,Building,Gothic architecture,Place of worship,Cathedral,Facade,Historic site,[T T o1 T T T,Zoran Prole, Nov 2011,"Medieval architecture,Classical architecture,Architecture,Landmark,Building,Gothic architecture,Place of worship,Cathedral,Facade,Historic site"
1446,1446,Lund_01214,Property,Building,Residential area,Public space,Architecture,Botany,Neighbourhood,House,Real estate,Tree,Lundagérd 9,P Pulak Barua, Sep 2017,"Property,Building,Residential area,Public space,Architecture,Botany,Neighbourhood,House,Real estate,Tree"
1447,1447,Lund_00872,Building,Palace,Estate,Landmark,Official residence,Mansion,Architecture,Stately home,Presidential palace,Plaza,'j.f Matthias Lauer,'j.f Matthias Lauer, Jul 2017,"Building,Palace,Estate,Landmark,Official residence,Mansion,Architecture,Stately home,Presidential palace,Plaza"
1448,1448,Lund_00693,Estate,Building,Mansion,Landmark,Property,Palace,House,Architecture,Official residence,Manor house,Lundagérd,"@"" pieterjan vaneerc", Sep 2016,"Estate,Building,Mansion,Landmark,Property,Palace,House,Architecture,Official residence,Manor house"
1449,1449,Lund_02754,Sky,Natural landscape,Tree,Property,Leaf,Shrub,Grass,Morning,Lawn,Land lot,Vasaplatsen,@ Tim Scharinger, Oct 2018,"Sky,Natural landscape,Tree,Property,Leaf,Shrub,Grass,Morning,Lawn,Land lot"
1450,1450,Lund_02197,Building,Property,Architecture,Mixed-use,Apartment,Neighbourhood,House,Residential area,Real estate,Commercial building,Asylen,ﬁ BN PN R, Aug 2017,"Building,Property,Architecture,Mixed-use,Apartment,Neighbourhood,House,Residential area,Real estate,Commercial building"
1451,1451,Lund_00587,Landmark,Architecture,Medieval architecture,Sky,Building,Spire,Steeple,Tower,Historic site,Church,Lund Cathedral :,[ ‘&f‘ (T A e, Apr 2017,"Landmark,Architecture,Medieval architecture,Sky,Building,Spire,Steeple,Tower,Historic site,Church"
1452,1452,Lund_02409,Sky,Tree,Grass,Spring,Cloud,Park,Mountain,Architecture,Plant,Winter,Botanical Garden,ag‘:ggﬁ ), Apr 2018,"Sky,Tree,Grass,Spring,Cloud,Park,Mountain,Architecture,Plant,Winter"
1453,1453,Lund_01431,Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block,Loppmarknad,J) JAKAWAT PUMP, May 2017,"Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block"
1454,1454,Lund_00500,Château,Building,Estate,Property,Palace,Mansion,Manor house,House,College,Architecture,Bantorget -,L. -, Jul 2017,"Château,Building,Estate,Property,Palace,Mansion,Manor house,House,College,Architecture"
1455,1455,Lund_00341,Building,Estate,Mansion,Property,Landmark,House,Architecture,Palace,Classical architecture,Official residence,Lundagérd 9,B Ben Weston, Aug 2018,"Building,Estate,Mansion,Property,Landmark,House,Architecture,Palace,Classical architecture,Official residence"
1456,1456,Lund_01817,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014,"Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building"
1457,1457,Lund_01847,Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building,Lundagérd,% Mohammad A.M, May 2018,"Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building"
1458,1458,Lund_01933,Property,Grass,House,Green,Building,Lawn,Home,Real estate,Residential area,Estate,Tridgéardsverandan,6 IR DL, Sep 2017,"Property,Grass,House,Green,Building,Lawn,Home,Real estate,Residential area,Estate"
1459,1459,Lund_03057,Road,Sky,Field,Dirt road,Green,Grass,Lane,Grassland,Natural environment,Tree,[ TR DR,%‘ mari pelinder, Jun 2017,"Road,Sky,Field,Dirt road,Green,Grass,Lane,Grassland,Natural environment,Tree"
1460,1460,Lund_00768,Building,Mansion,Estate,Landmark,Property,Architecture,Palace,House,Stately home,Château,Lundagérd 9,T ) Tom Zeitlos, Jun 2016,"Building,Mansion,Estate,Landmark,Property,Architecture,Palace,House,Stately home,Château"
1461,1461,Lund_02548,Snow,Winter,Natural landscape,Tree,Freezing,Sky,Natural environment,Grass,Frost,Plant,L TR TR,Q Peter Nordensva,,"Snow,Winter,Natural landscape,Tree,Freezing,Sky,Natural environment,Grass,Frost,Plant"
1462,1462,Lund_01887,Tree,Spring,Blossom,Natural landscape,Flower,Plant,Grass,Cherry blossom,Sky,Botany,Botanical Garden ¢,Jorgen Grahn, Apr 2017,"Tree,Spring,Blossom,Natural landscape,Flower,Plant,Grass,Cherry blossom,Sky,Botany"
1463,1463,Lund_02646,Hay,Field,Straw,Farm,Harvest,Grass family,Rural area,Tree,Agriculture,Plant,Nobbel6vs mosse,i\ 1T T, Aug 2014,"Hay,Field,Straw,Farm,Harvest,Grass family,Rural area,Tree,Agriculture,Plant"
1464,1464,Lund_02438,Natural landscape,Body of water,Nature,Sky,Vegetation,Nature reserve,Water resources,Water,Lake,Natural environment,L TR TR,O ) Olexiy Avramche!, Aug 2017,"Natural landscape,Body of water,Nature,Sky,Vegetation,Nature reserve,Water resources,Water,Lake,Natural environment"
1465,1465,Lund_00813,Medieval architecture,Landmark,Building,Architecture,Classical architecture,Town,Church,Facade,Place of worship,Cathedral,[T T o1 T T T,f: Zach Wachtl,,"Medieval architecture,Landmark,Building,Architecture,Classical architecture,Town,Church,Facade,Place of worship,Cathedral"
1466,1466,Lund_01738,Garden,Lawn,Yard,Natural landscape,Botanical garden,Grass,Walkway,Landscape,Flower,Landscaping,Botanical Garden,Hasse Johansso, Aug 2017,"Garden,Lawn,Yard,Natural landscape,Botanical garden,Grass,Walkway,Landscape,Flower,Landscaping"
1467,1467,Lund_00481,Landmark,Building,Classical architecture,Architecture,Property,House,Estate,Mansion,Courthouse,Historic house,Underground Street |,Underground Street |, Jul 2017,"Landmark,Building,Classical architecture,Architecture,Property,House,Estate,Mansion,Courthouse,Historic house"
1468,1468,Lund_02734,Sky,Field,Natural landscape,Crop,Agriculture,Cloud,Natural environment,Tree,Farm,Atmospheric phenomenon,Nobbel6vs mosse,O CRDTPI[),,"Sky,Field,Natural landscape,Crop,Agriculture,Cloud,Natural environment,Tree,Farm,Atmospheric phenomenon"
1469,1469,Lund_03098,Tree,Natural landscape,Vegetation,Green,Sky,Plant,Woody plant,Spring,Natural environment,Grass,iKLINIK LUND,F ) Fredrik Pahisson,,"Tree,Natural landscape,Vegetation,Green,Sky,Plant,Woody plant,Spring,Natural environment,Grass"
1470,1470,Lund_01423,Garden,Botanical garden,Natural landscape,Plant,Shrub,Flower,Botany,Lawn,Landscaping,Landscape,Botanical Garden,Amelie Harms, Jul 2016,"Garden,Botanical garden,Natural landscape,Plant,Shrub,Flower,Botany,Lawn,Landscaping,Landscape"
1471,1471,Lund_00487,Classical architecture,Architecture,Landmark,Building,Facade,Palace,Sky,City,Courthouse,House,Lundagérd,B Bengt Ljungquist, Apr 2018,"Classical architecture,Architecture,Landmark,Building,Facade,Palace,Sky,City,Courthouse,House"
1472,1472,Lund_02732,Sky,Natural landscape,Horizon,Grassland,Natural environment,Field,Grass,Atmospheric phenomenon,Plain,Line,Nobbel6vs mosse,Nobbel6vs mosse, Dec 2016,"Sky,Natural landscape,Horizon,Grassland,Natural environment,Field,Grass,Atmospheric phenomenon,Plain,Line"
1473,1473,Lund_02055,Landmark,Medieval architecture,Building,Architecture,Historic site,Turret,Tower,History,Arch,Facade,L (LT T G,Anna Gester, Jun 2018,"Landmark,Medieval architecture,Building,Architecture,Historic site,Turret,Tower,History,Arch,Facade"
1474,1474,Lund_02817,Landmark,Building,Architecture,Sky,Town,City,Facade,Historic site,Church,Tourism,Stadsparken,J  Jonathan Ohrling, May 2017,"Landmark,Building,Architecture,Sky,Town,City,Facade,Historic site,Church,Tourism"
1475,1475,Lund_02510,Natural landscape,Natural environment,Vegetation,Water,Nature reserve,Wilderness,Tree,Sky,Bank,River,. Pavel Larsson,. Pavel Larsson, Oct 2017,"Natural landscape,Natural environment,Vegetation,Water,Nature reserve,Wilderness,Tree,Sky,Bank,River"
1476,1476,Lund_02052,Town,Urban area,Neighbourhood,Building,City,Human settlement,Architecture,Street,Waterway,Metropolitan area,StadshallLund ¢,Elsa Storlind,,"Town,Urban area,Neighbourhood,Building,City,Human settlement,Architecture,Street,Waterway,Metropolitan area"
1477,1477,Lund_01465,Building,Natural landscape,Architecture,House,Grass,Estate,Urban area,Tree,Home,City,Lundagérd,Sapkaris Nikolao, Sep 2018,"Building,Natural landscape,Architecture,House,Grass,Estate,Urban area,Tree,Home,City"
1478,1478,Lund_00196,Residential area,Building,Neighbourhood,Town,Human settlement,Property,City,Apartment,Mixed-use,Architecture,e Sumeet Ranjan S,e Sumeet Ranjan S, May 2017,"Residential area,Building,Neighbourhood,Town,Human settlement,Property,City,Apartment,Mixed-use,Architecture"
1479,1479,Lund_01635,Natural landscape,Nature,Sport venue,Nature reserve,Natural environment,Pond,Tree,Grass,Bank,Land lot,Sankt Jorgen Park,Sankt Jorgen Park, Jun 2017,"Natural landscape,Nature,Sport venue,Nature reserve,Natural environment,Pond,Tree,Grass,Bank,Land lot"
1480,1480,Lund_02182,Tree,Natural landscape,Nature,Sky,Vegetation,Green,Grass,Natural environment,Light,Sunlight,Rinnebick Gorge 2,Mido Lii, May 2018,"Tree,Natural landscape,Nature,Sky,Vegetation,Green,Grass,Natural environment,Light,Sunlight"
1481,1481,Lund_02727,Retail,Building,Supermarket,Convenience store,Marketplace,Grocery store,Outlet store,Aisle,Floor,Trade,ICA Supermarket Lin,ﬂ) Mr.Roman Lak, Oct 2016,"Retail,Building,Supermarket,Convenience store,Marketplace,Grocery store,Outlet store,Aisle,Floor,Trade"
1482,1482,Lund_00184,Sky,Landmark,Architecture,Building,Estate,Tree,Cloud,Grass,Fountain,City,[T 8,a Diana Picus,,"Sky,Landmark,Architecture,Building,Estate,Tree,Cloud,Grass,Fountain,City"
1483,1483,Lund_01262,Natural landscape,Nature,Highland,Wilderness,Grass,Nature reserve,Geological phenomenon,Hill,Fell,Waterway,Virpinge Golfklubb,& Victor Kalbskopf, Oct 2016,"Natural landscape,Nature,Highland,Wilderness,Grass,Nature reserve,Geological phenomenon,Hill,Fell,Waterway"
1484,1484,Lund_03143,Sky,Natural landscape,Cloud,Green,Pasture,Grassland,Natural environment,Grass,Land lot,Horizon,. Matthew H. Motz,. Matthew H. Motz, May 2018,"Sky,Natural landscape,Cloud,Green,Pasture,Grassland,Natural environment,Grass,Land lot,Horizon"
1485,1485,Lund_03135,Town,Vehicle,Neighbourhood,Residential area,Mixed-use,Architecture,House,Building,City,Tourism,Lundagérd ¢,& Obbie Hadrian, Oct 2018,"Town,Vehicle,Neighbourhood,Residential area,Mixed-use,Architecture,House,Building,City,Tourism"
1486,1486,Lund_00345,Building,Landmark,Palace,Architecture,Classical architecture,Property,Mansion,Estate,Official residence,House,Lundagérd,A  Alejandro Carrillc, Jun 2016,"Building,Landmark,Palace,Architecture,Classical architecture,Property,Mansion,Estate,Official residence,House"
1487,1487,Lund_01958,Landmark,Vehicle,Architecture,Town,Building,Car,Wall,City,Tourism,City car,Lund Cathedral ¢,Reine Himmer, Sep 2017,"Landmark,Vehicle,Architecture,Town,Building,Car,Wall,City,Tourism,City car"
1488,1488,Lund_00547,Town,City,Town square,Human settlement,Building,Public space,Landmark,Plaza,Mixed-use,Architecture,Lundagérd,'v Rafael Schwartz, May 2018,"Town,City,Town square,Human settlement,Building,Public space,Landmark,Plaza,Mixed-use,Architecture"
1489,1489,Lund_02098,Natural landscape,Nature,Green,Vegetation,Grass,Watercourse,Nature reserve,Sky,River,Rural area,Rinnebick Gorge,MAGNUS DAGBF,,"Natural landscape,Nature,Green,Vegetation,Grass,Watercourse,Nature reserve,Sky,River,Rural area"
1490,1490,Lund_00315,Landmark,Building,Architecture,Sky,City,Town,Facade,Human settlement,Public space,Tourism,[T T o1 T 1T,[T T o1 T 1T, Jul 2018,"Landmark,Building,Architecture,Sky,City,Town,Facade,Human settlement,Public space,Tourism"
1491,1491,Lund_00949,Building,Estate,Mansion,Palace,Landmark,Stately home,Official residence,Classical architecture,Architecture,Château,Lundagérd H,«g T, Nov 2006,"Building,Estate,Mansion,Palace,Landmark,Stately home,Official residence,Classical architecture,Architecture,Château"
1492,1492,Lund_01980,Property,Town,Building,House,Architecture,Residential area,Tree,Estate,Grass,Home,Kulturen,‘ Marion Kaletta, Apr 2018,"Property,Town,Building,House,Architecture,Residential area,Tree,Estate,Grass,Home"
1493,1493,Lund_01872,Garden,Shrub,Property,Vegetation,Natural landscape,Botanical garden,Tree,Grass,Botany,Plant,Botanical Garden,ﬂ) Mr.Roman Lak, Jun 2018,"Garden,Shrub,Property,Vegetation,Natural landscape,Botanical garden,Tree,Grass,Botany,Plant"
1494,1494,Lund_00173,Tree,Property,House,Town,Neighbourhood,Building,Urban area,Brick,Residential area,Architecture,‘ (&1 EY T,‘ (&1 EY T, Dec 2016,"Tree,Property,House,Town,Neighbourhood,Building,Urban area,Brick,Residential area,Architecture"
1495,1495,Lund_02116,Garden,Natural landscape,Tree,Grass,Botanical garden,Shrub,Botany,Grass family,Sky,Plant,Fredentorps Begravn,Christoffer Norér,,"Garden,Natural landscape,Tree,Grass,Botanical garden,Shrub,Botany,Grass family,Sky,Plant"
1496,1496,Lund_00820,Cobblestone,Town,Public space,Sky,Human settlement,Flooring,City,Town square,Tourism,Street,Stortorget c,(r;’ Mato Bo$njak, Aug 2016,"Cobblestone,Town,Public space,Sky,Human settlement,Flooring,City,Town square,Tourism,Street"
1497,1497,Lund_01543,Natural landscape,Garden,Vegetation,Tree,Grass,Botanical garden,Grassland,Nature reserve,Meadow,Plant,Botanical Garden,) Habib ElRachidi, May 2018,"Natural landscape,Garden,Vegetation,Tree,Grass,Botanical garden,Grassland,Nature reserve,Meadow,Plant"
1498,1498,Lund_00725,Palace,Building,Estate,Landmark,Mansion,Architecture,Château,Stately home,Official residence,House,Lundagérd,I\ SRV, Jul 2017,"Palace,Building,Estate,Landmark,Mansion,Architecture,Château,Stately home,Official residence,House"
1499,1499,Lund_01277,Classical architecture,Building,Landmark,Architecture,Facade,Palace,Official residence,City,Mansion,Seat of local government,Lundagérd,Silvana faussone, Jun 2013,"Classical architecture,Building,Landmark,Architecture,Facade,Palace,Official residence,City,Mansion,Seat of local government"
1500,1500,Lund_01037,Natural landscape,Nature,Highland,Watercourse,Vegetation,Water resources,Mountainous landforms,Wilderness,Grass,Stream,Rinnebidck Gorge,a Daniel Nilsson,,"Natural landscape,Nature,Highland,Watercourse,Vegetation,Water resources,Mountainous landforms,Wilderness,Grass,Stream"
1501,1501,Lund_01603,Fountain,Daytime,Sky,Water feature,Public space,Park,Water,Botany,Tree,Grass,Stadsparken ¢,ﬁ John Eckerdal, Jul 2016,"Fountain,Daytime,Sky,Water feature,Public space,Park,Water,Botany,Tree,Grass"
1502,1502,Lund_02882,Property,Building,Architecture,Tree,Estate,Urban area,House,Manor house,Mansion,Sky,. jLarsen,. jLarsen, Aug 2017,"Property,Building,Architecture,Tree,Estate,Urban area,House,Manor house,Mansion,Sky"
1503,1503,Lund_01920,City,Town,Street,Human settlement,Neighbourhood,Downtown,Landmark,Building,Road,Public space,Lundagérd ¢,@ Ludovic Barth, Jul 2015,"City,Town,Street,Human settlement,Neighbourhood,Downtown,Landmark,Building,Road,Public space"
1504,1504,Lund_01319,Landmark,Architecture,Building,Estate,House,Sky,Rural area,Landscape,Mansion,Home,Lund Observatory,Jonathan Lundbe, May 2018,"Landmark,Architecture,Building,Estate,House,Sky,Rural area,Landscape,Mansion,Home"
1505,1505,Lund_00979,Landmark,Medieval architecture,Architecture,Building,Church,Place of worship,Steeple,Cathedral,Facade,Classical architecture,DI TN G BT T,"-"";h‘ Larysa Rehab", May 2017,"Landmark,Medieval architecture,Architecture,Building,Church,Place of worship,Steeple,Cathedral,Facade,Classical architecture"
1506,1506,Lund_00816,Building,Property,Architecture,Château,Tree,Estate,Stately home,House,Church,Historic house,Lundagérd,WYY T 6], May 2018,"Building,Property,Architecture,Château,Tree,Estate,Stately home,House,Church,Historic house"
1507,1507,Lund_01642,Architecture,Landmark,Building,Medieval architecture,Classical architecture,Sky,Place of worship,Facade,Cathedral,Gothic architecture,jpb_20110418_1733,Johan Berkman,,"Architecture,Landmark,Building,Medieval architecture,Classical architecture,Sky,Place of worship,Facade,Cathedral,Gothic architecture"
1508,1508,Lund_01218,Building,Architecture,Town,Vehicle,Facade,Car,House,Courthouse,City,Palace,,, Jul 2018,"Building,Architecture,Town,Vehicle,Facade,Car,House,Courthouse,City,Palace"
1509,1509,Lund_00763,Aerial photography,Residential area,Suburb,Bird's-eye view,Urban area,Photography,Landscape,Urban design,Metropolitan area,Road,Stadsparken,g Per Pixel Peterss, Jul 2015,"Aerial photography,Residential area,Suburb,Bird's-eye view,Urban area,Photography,Landscape,Urban design,Metropolitan area,Road"
1510,1510,Lund_02247,Straw,Hay,Hut,Grass,Grass family,Tree,Environmental art,Rural area,Plant,Thatching,-1 TL T B T B G G,Richard Nilsson, May 2017,"Straw,Hay,Hut,Grass,Grass family,Tree,Environmental art,Rural area,Plant,Thatching"
1511,1511,Lund_02913,Sky,House,Morning,Cloud,Rural area,Architecture,Tree,Home,Building,Grass,Virpingeskolan ¢,o Jef Kong, May 2017,"Sky,House,Morning,Cloud,Rural area,Architecture,Tree,Home,Building,Grass"
1512,1512,Lund_00798,Landmark,Architecture,Building,Medieval architecture,Stately home,Château,Facade,Turret,Palace,Castle,Lundagérd 8,N Nikhil Dharap, May 2018,"Landmark,Architecture,Building,Medieval architecture,Stately home,Château,Facade,Turret,Palace,Castle"
1513,1513,Lund_00583,Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Official residence,Château,Architecture,Lundagérd,N WO Y G, May 2017,"Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Official residence,Château,Architecture"
1514,1514,Lund_00089,Tree,Woody plant,Sky,Plant,Spring,Grass,Leaf,Daytime,Botany,Flower,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Tree,Woody plant,Sky,Plant,Spring,Grass,Leaf,Daytime,Botany,Flower"
1515,1515,Lund_00506,Property,Architecture,House,Sky,Building,Urban area,Tree,Home,Town,Estate,[T T VT VT 01 A,"@, (][R 1T", Jun 2018,"Property,Architecture,House,Sky,Building,Urban area,Tree,Home,Town,Estate"
1516,1516,Lund_00045,Landmark,Architecture,Building,Sky,Cathedral,Church,Town,Tree,Wall,City,. Robert Henger,. Robert Henger, Aug 2018,"Landmark,Architecture,Building,Sky,Cathedral,Church,Town,Tree,Wall,City"
1517,1517,Lund_00067,Property,Building,Architecture,House,Facade,,,,,,"l\i, Stana Minincic","l\i, Stana Minincic", Jul 2017,
1518,1518,Lund_01809,Building,Town,Mixed-use,Neighbourhood,Architecture,Facade,City,House,Vehicle,Metropolitan area,Coop Konsum,Henrik Queckfelc, Jan 2017,"Building,Town,Mixed-use,Neighbourhood,Architecture,Facade,City,House,Vehicle,Metropolitan area"
1519,1519,Lund_01485,Garden,Botanical garden,Property,Natural landscape,Lawn,Grass,Landscape,Shrub,Landscaping,Botany,Botanical Garden,Michael Sturaro, Aug 2016,"Garden,Botanical garden,Property,Natural landscape,Lawn,Grass,Landscape,Shrub,Landscaping,Botany"
1520,1520,Lund_01475,Town,City,Street,Human settlement,Building,Urban area,Road,Architecture,Public space,Downtown,[T TV HTET 3 T,a Abubakar M, Aug 2017,"Town,City,Street,Human settlement,Building,Urban area,Road,Architecture,Public space,Downtown"
1521,1521,Lund_00988,Building,Landmark,Architecture,Medieval architecture,Town,Facade,City,Church,Cathedral,Sky,[T L He 1 BT,R Monika Jiraseko, Jun 2018,"Building,Landmark,Architecture,Medieval architecture,Town,Facade,City,Church,Cathedral,Sky"
1522,1522,Lund_00485,Architecture,Building,Landmark,Town,Church,City,Sky,Facade,Place of worship,Steeple,Lund Cathedral,& RLICEUGEERRE, Jul 2018,"Architecture,Building,Landmark,Town,Church,City,Sky,Facade,Place of worship,Steeple"
1523,1523,Lund_02521,Product,Industry,Factory,Machine,Building,Engineering,Metal,,,,MAX IV Laboratory,p‘ Indré Kolojanska, May 2017,
1524,1524,Lund_02926,Building,Property,Architecture,Facade,Real estate,House,Interior design,Home,Mixed-use,,[ RL TN T H,o Travel to, Jul 2017,
1525,1525,Lund_01432,Natural landscape,Tree,Sky,Grass,Green,Daytime,Lawn,Spring,Pasture,Natural environment,Botanical Garden,W) Wokitty b, May 2018,"Natural landscape,Tree,Sky,Grass,Green,Daytime,Lawn,Spring,Pasture,Natural environment"
1526,1526,Lund_00256,Building,Property,Estate,Mansion,Architecture,Château,Stately home,House,Home,Historic house,26/6/2016 8,& saad al saifi, Jun 2016,"Building,Property,Estate,Mansion,Architecture,Château,Stately home,House,Home,Historic house"
1527,1527,Lund_02319,Sky,Water,Dock,Water resources,Morning,Boardwalk,River,Lake,Horizon,Waterway,Rabysjon och Raby s,q ﬁ Joakim Erlandss, May 2017,"Sky,Water,Dock,Water resources,Morning,Boardwalk,River,Lake,Horizon,Waterway"
1528,1528,Lund_01092,Landmark,Building,Mansion,Estate,Property,Architecture,House,Sky,Stately home,Home,Lundagérd H,"«’l‘é‘f"" ARG Y", Sep 2016,"Landmark,Building,Mansion,Estate,Property,Architecture,House,Sky,Stately home,Home"
1529,1529,Lund_02833,Building,Palace,Estate,Landmark,Mansion,Stately home,Classical architecture,Official residence,Presidential palace,Château,Lundagérd,q Aleksandra Zhely, Jun 2015,"Building,Palace,Estate,Landmark,Mansion,Stately home,Classical architecture,Official residence,Presidential palace,Château"
1530,1530,Lund_01086,Medieval architecture,Architecture,Building,Landmark,Place of worship,Classical architecture,Church,Facade,Historic site,Parish,[T L He 1 BT,. EECIen, Sep 2017,"Medieval architecture,Architecture,Building,Landmark,Place of worship,Classical architecture,Church,Facade,Historic site,Parish"
1531,1531,Lund_00124,Town,City,Building,Human settlement,Pedestrian,Street,Plaza,Neighbourhood,Public space,Architecture,"‘é"" [N","‘é"" [N", Aug 2018,"Town,City,Building,Human settlement,Pedestrian,Street,Plaza,Neighbourhood,Public space,Architecture"
1532,1532,Lund_00954,Building,Estate,Mansion,Property,Architecture,Landmark,House,Palace,Home,Stately home,Lundagérd,O CRNTII b,,"Building,Estate,Mansion,Property,Architecture,Landmark,House,Palace,Home,Stately home"
1533,1533,Lund_02726,Grassland,Field,Plain,Sky,Prairie,Natural environment,Natural landscape,Paddy field,Agriculture,Grass,L TR TR,\ARYIE T EEG RV ED, Jun 2018,"Grassland,Field,Plain,Sky,Prairie,Natural environment,Natural landscape,Paddy field,Agriculture,Grass"
1534,1534,Lund_02665,Nature reserve,Water resources,Natural landscape,Watercourse,Bank,Riparian zone,Biome,Water,Rock,Tree,Rinnebick Gorge,e S YD R E, Jul 2017,"Nature reserve,Water resources,Natural landscape,Watercourse,Bank,Riparian zone,Biome,Water,Rock,Tree"
1535,1535,Lund_00886,Building,Property,Architecture,Landmark,Stately home,Mansion,Estate,Historic house,Château,Facade,Bantorget,0 ) Orsolya Stefanic:, Mar 2017,"Building,Property,Architecture,Landmark,Stately home,Mansion,Estate,Historic house,Château,Facade"
1536,1536,Lund_01739,Building,Property,Estate,Stately home,Architecture,Mansion,Palace,Manor house,Château,Official residence,Lundagérd,é_ Lucian Gevelegia, Aug 2008,"Building,Property,Estate,Stately home,Architecture,Mansion,Palace,Manor house,Château,Official residence"
1537,1537,Lund_02330,Sky,Cloud,Daytime,Natural landscape,Natural environment,Horizon,Plain,Morning,Mountain,Atmosphere,Klosteréingshdjden,Ragnar Staalgrer, Sep 2017,"Sky,Cloud,Daytime,Natural landscape,Natural environment,Horizon,Plain,Morning,Mountain,Atmosphere"
1538,1538,Lund_02284,Building,Factory,Industry,Interior design,Loft,Floor,Hall,Architecture,Flooring,Engineering,MAX IV Laboratory,@ EONE Y, Oct 2016,"Building,Factory,Industry,Interior design,Loft,Floor,Hall,Architecture,Flooring,Engineering"
1539,1539,Lund_00092,Building,Town,Electronic signage,Restaurant,Signage,Architecture,City,Facade,Mixed-use,Downtown,"‘é"" [N","‘é"" [N", Aug 2018,"Building,Town,Electronic signage,Restaurant,Signage,Architecture,City,Facade,Mixed-use,Downtown"
1540,1540,Lund_01882,Building,Town,Transport,Vehicle,Architecture,Residential area,City,Neighbourhood,Car,House,Lund Market Hall,ﬁﬁ LR Ny, Jul 2017,"Building,Town,Transport,Vehicle,Architecture,Residential area,City,Neighbourhood,Car,House"
1541,1541,Lund_03175,Nature,Natural landscape,Water resources,Nature reserve,Watercourse,Water,River,Waterway,Pasture,Rural area,Rinnebick Gorge 2,@ Anton Mgller,,"Nature,Natural landscape,Water resources,Nature reserve,Watercourse,Water,River,Waterway,Pasture,Rural area"
1542,1542,Lund_00491,Estate,Mansion,Building,Palace,Stately home,Château,Official residence,Architecture,House,Historic house,Lundagérd 9,J ) Jens Jensen, Jun 2014,"Estate,Mansion,Building,Palace,Stately home,Château,Official residence,Architecture,House,Historic house"
